CÓDIGO	CÓDIGO OPCIONAL	TIPO	DESCRIÇÃO	LOCAL	UN.	DIMENSÃO	CLIENTE	LOTE	ITEM NF	NF	VALIDADE	ESTAÇÃO	QTD ESTOQUE	DATA ENTRADA
116897	1938350	PERECÍVEIS	PRIMER,BASE D'AGUA,BRANCO-PARA COMPOSTO, TIPO I	G4.5	L	2.77	EMBRAER	C031731603	2	2383797.0	2026-05-25	11.08	4	2025-12-01 10:50:26
116897	1938350	PERECÍVEIS	PRIMER,BASE D'AGUA,BRANCO-PARA COMPOSTO, TIPO I	G4.5	L	2.77	EMBRAER	C031731603	3	2383797.0	2026-05-25	11.08	4	2025-12-01 10:50:26
117980	1791326	PERECÍVEIS	PRIMER,BASE D'AGUA,BRANCO-PARA COMPOSTO, TIPO II	G3.8	L	3.12	EMBRAER	C031395750	7	2377892.0	2026-02-23	12.5	2,5	2025-12-01 10:50:26
117980	1791326	PERECÍVEIS	PRIMER,BASE D'AGUA,BRANCO-PARA COMPOSTO, TIPO II	G3.8	L	3.12	EMBRAER	C031395750	8	2377892.0	2026-02-23	12.5	3,995	2025-12-01 10:50:26
1236591		PERECÍVEIS	RESINA EPOXI PASTOSA COM MICROESFERAS	G4.3	KG	3.26	EMBRAER	C030175626	2	2318790.0	2025-12-08	2.55	0	2025-12-01 10:50:26
1236591		PERECÍVEIS	RESINA EPOXI PASTOSA COM MICROESFERAS	G4.3	KG	3.26	EMBRAER	C030175626	7	2398325.0	2025-12-08	2,55	0	2025-12-01 10:50:26
1236591		PERECÍVEIS	RESINA EPOXI PASTOSA COM MICROESFERAS	G4.3	KG	3.26	EMBRAER	C030175626	8	 2398325	2025-12-08	2,55	0	2025-12-08 09:17:29
1236591		PERECÍVEIS	RESINA EPOXI PASTOSA COM MICROESFERAS	G4.3	KG	3.26	EMBRAER	C031721660	1	2407826	2026-05-26	2,55	1	2025-12-16 08:01:01
1330317	-	PAINEL	CHAPA, POLICARBONATO, 0.060 POL-PRETA, TEXTURIZADA        	DEFINIR	M2	"2,97
"	EMBRAER	C031851515	1	2381337.0		"2,974
"	1	2025-12-01 10:50:26
1330317	-	PAINEL	CHAPA, POLICARBONATO, 0.060 POL-PRETA, TEXTURIZADA        	DEFINIR	M2	"2,97
"	EMBRAER	C031851514	2	2395138.0		2,974	2	2025-12-01 10:50:26
1355980	2702410	HARDWARE	REBITE CEGO-CABECA UNIVERSAL,AL - AD44ABS	C2.5	UN	1.0	EMBRAER	C023552090	1	1777966.0		50.0	32	2025-12-01 10:50:26
1355980	2702410	HARDWARE	REBITE CEGO-CABECA UNIVERSAL,AL - AD44ABS	C2.5	UN	1.0	EMBRAER	C023552090	6	1777966.0		50.0	50	2025-12-01 10:50:26
1374548	-	PAINEL	CHAPA,POLICARBONATO,0.04POL-CINZA,TEXTURIZADO	DEFINIR	UN	2.97	EMBRAER	C031313003	4	2303948.0		2.97	1	2025-12-01 10:50:26
1374548	-	PAINEL	CHAPA,POLICARBONATO,0.04POL-CINZA,TEXTURIZADO	DEFINIR	UN	2.97	EMBRAER	C031313003	2	2303948.0		2.97	0	2025-12-01 10:50:26
1390010	-	PAINEL	LAMINADO,VIDRO/POLIESTER,0,04POL-RESISTENTE A IMPACTO	DEFINIR	UN	4.46	EMBRAER	CN21441329	4	2083029.0		3.1	4	2025-12-01 10:50:26
1398904		MANTA	MANTA-INSONORIZACAO, FIBRA DE VIDRO	PALETE	M²	1.0	EMBRAER	C031976135	2	2393197.0		1.0	5	2025-12-01 10:50:26
1398904		MANTA	MANTA-INSONORIZACAO, FIBRA DE VIDRO	PALETE	M²	1.0	EMBRAER	C031976135	1	23931.0		1.0	5	2025-12-01 10:50:26
1398976	-	PERECÍVEIS	MANTA-INSONORIZAÇÃO, FIBRA DE VIDRO 9/8", 1.50PCF & LAMAGUARD 10	J2	M2	0.78	EMBRAER	C030065512	1	2355760.0		7.7	25	2025-12-01 10:50:26
1402088	3016666	PERECÍVEIS	PERFIL BORRACHA SILICONE REFORCADO COM TECIDO DACRON        	F5.2	M	1.83	EMBRAER	C030649385	1	2319730.0	2044-04-16	260.37	0	2025-12-01 10:50:26
1402088	3016666	PERECÍVEIS	PERFIL BORRACHA SILICONE REFORCADO COM TECIDO DACRON        	F5.2	M	1.83	EMBRAER	C030757400	1	2319730.0	2044-06-18	260.37	0	2025-12-01 10:50:26
1402088	3016666	PERECÍVEIS	PERFIL BORRACHA SILICONE REFORCADO COM TECIDO DACRON        	F5.2	M	1.83	EMBRAER	C030757407	4	2319730.0	2044-05-19	260.37	0	2025-12-01 10:50:26
1402088	3016666	PERECÍVEIS	PERFIL BORRACHA SILICONE REFORCADO COM TECIDO DACRON        	F5.2	M	1.83	EMBRAER	C030897964	28	2319730.0	2044-06-18	260.37	0	2025-12-01 10:50:26
1402088	3016666	PERECÍVEIS	PERFIL BORRACHA SILICONE REFORCADO COM TECIDO DACRON        	F5.2	M	1.83	EMBRAER	C030975421	8	2373265.0	2045-04-17	260.37	0	2025-12-01 10:50:26
1402088	3016666	PERECÍVEIS	PERFIL BORRACHA SILICONE REFORCADO COM TECIDO DACRON        	F5.2	M	1.83	EMBRAER	C030975422	7	2373265.0	2044-07-17	260.37	0	2025-12-01 10:50:26
1402088	3016666	PERECÍVEIS	PERFIL BORRACHA SILICONE REFORCADO COM TECIDO DACRON        	F5.2	M	1.83	EMBRAER	C030975423	3	2373265.0	2044-07-17	260.37	0	2025-12-01 10:50:26
1402088	3016666	PERECÍVEIS	PERFIL BORRACHA SILICONE REFORCADO COM TECIDO DACRON        	F5.2	M	1.83	EMBRAER	C031155889	1	2373265.0	2044-09-18	260.37	0	2025-12-01 10:50:26
1402088	3016666	PERECÍVEIS	PERFIL BORRACHA SILICONE REFORCADO COM TECIDO DACRON        	F5.2	M	1.83	EMBRAER	C031471124	2	2373265.0	2044-12-13	260.37	13	2025-12-01 10:50:26
1402088	3016666	PERECÍVEIS	PERFIL BORRACHA SILICONE REFORCADO COM TECIDO DACRON        	F5.2	M	1.83	EMBRAER	C031506199	1	2352412.0	2045-01-15	260.37	28	2025-12-01 10:50:26
1402088	3016666	PERECÍVEIS	PERFIL BORRACHA SILICONE REFORCADO COM TECIDO DACRON        	F5.2	M	1.83	EMBRAER	C031556566	2	2352412.0	2045-01-15	260.37	29	2025-12-01 10:50:26
1402088	3016666	PERECÍVEIS	PERFIL BORRACHA SILICONE REFORCADO COM TECIDO DACRON        	F5.2	M	1.83	EMBRAER	C031155864	1	2409462	2044-09-18	260.37	30	2025-12-19 12:16:11
1402088	3016666	PERECÍVEIS	PERFIL BORRACHA SILICONE REFORCADO COM TECIDO DACRON        	F5.2	M	1.83	EMBRAER	C030897989	2	2409462	2044-06-18	260.37	30	2025-12-19 12:17:37
1402088	3016666	PERECÍVEIS	PERFIL BORRACHA SILICONE REFORCADO COM TECIDO DACRON        	F5.2	M	1.83	EMBRAER	C031774635	4	2409462	2045-03-17	260.37	30	2025-12-19 12:24:31
1402088	3016666	PERECÍVEIS	PERFIL BORRACHA SILICONE REFORCADO COM TECIDO DACRON        	F5.2	M	1.83	EMBRAER	C031506200	5	2409462	2045-01-15	260.37	30	2025-12-19 12:27:02
1402088	3016666	PERECÍVEIS	PERFIL BORRACHA SILICONE REFORCADO COM TECIDO DACRON        	F5.2	M	1.83	EMBRAER	C031881895	6	2409462	2045-05-19	260.37	30	2025-12-19 12:28:20
1419940	-	HARDWARE	CALÇO	C2.6	UN	1.0	EMBRAER	C019773520	1	219620.0		25.0	4	2025-12-01 10:50:26
1452745	402415 - 7950283 - 5358558 - 1453776	PERECÍVEIS	TINTA,POLIURETANO HS, PRETO FOSCO FS595-37038	H4.3	L	3.78	EMBRAER	C031093166	11	2318790.0	2026-08-20	3.79	0	2025-12-01 10:50:26
1452745	402415 - 7950283 - 5358558 - 1453776	PERECÍVEIS	TINTA,POLIURETANO HS, PRETO FOSCO FS595-37038	H4.3	L	3.78	EMBRAER	C031093166	14	2318790.0	2026-08-20	3.79	0,75	2025-12-01 10:50:26
1452745	402415 - 7950283 - 5358558 - 1453776	PERECÍVEIS	TINTA,POLIURETANO HS, PRETO FOSCO FS595-37038	H4.3	L	3.78	EMBRAER	C031783591	5	2391847.0	2026-12-20	3,79	1	2025-12-01 10:50:26
1452745	402415 - 7950283 - 5358558 - 1453776	PERECÍVEIS	TINTA,POLIURETANO HS, PRETO FOSCO FS595-37038	H4.3	L	3.78	EMBRAER	C031783591	7	2391847.0	2026-12-20	3,79	1	2025-12-01 10:50:26
1452801	7936503	PERECÍVEIS	TINTA, POLIURETANO, CINZA 36173 - BASE D'AGUA, PARA INTERIOR        	H3.5	L	2.77	EMBRAER	C031236637	13	2354865.0	2026-11-20	11.08	1,5	2025-12-01 10:50:26
1452801	7936503	PERECÍVEIS	TINTA, POLIURETANO, CINZA 36173 - BASE D'AGUA, PARA INTERIOR        	H3.5	L	2.77	EMBRAER	C031236637	3	2354865.0	2026-11-20	11.08	1	2025-12-01 10:50:26
1452801	7936503	PERECÍVEIS	TINTA, POLIURETANO, CINZA 36173 - BASE D'AGUA, PARA INTERIOR        	H3.5	L	2.77	EMBRAER	C031395751	5	2383797.0	2027-02-18	11.08	4	2025-12-01 10:50:26
1452803	1970883 - 1453154	PERECÍVEIS	PRIMER,POLIURETANO,SEM CROMATO, PARA PINTURA MATERIAL COMPOSTO        	H3.2	L	3.78	EMBRAER	C031454901	4	2365632.0	2026-08-22	15.14	0	2025-12-01 10:50:26
1452803	1970883 - 1453154	PERECÍVEIS	PRIMER,POLIURETANO,SEM CROMATO, PARA PINTURA MATERIAL COMPOSTO        	H3.2	L	3.78	EMBRAER	C031454901	5	2365632.0	2026-08-22	15.14	0	2025-12-01 10:50:26
1452803	1970883 - 1453154	PERECÍVEIS	PRIMER,POLIURETANO,SEM CROMATO, PARA PINTURA MATERIAL COMPOSTO        	H3.2	L	3.78	EMBRAER	C031592402	12	2383057.0	2026-09-21	15.14	1	2025-12-01 10:50:26
1452803	1970883 - 1453154	PERECÍVEIS	PRIMER,POLIURETANO,SEM CROMATO, PARA PINTURA MATERIAL COMPOSTO        	H3.2	L	3.78	EMBRAER	C031592402	13	2383057.0	2026-09-21	15.14	4	2025-12-01 10:50:26
1452803	1970883 - 1453154	PERECÍVEIS	PRIMER,POLIURETANO,SEM CROMATO, PARA PINTURA MATERIAL COMPOSTO        	H3.2	L	3.78	EMBRAER	C031743461	1	2396148.0	2026-11-21	15.14	8	2025-12-01 10:50:26
1452803	1970883 - 1453154	PERECÍVEIS	PRIMER,POLIURETANO,SEM CROMATO, PARA PINTURA MATERIAL COMPOSTO        	H3.2	L	3.78	EMBRAER	C031927400	1	2407277	2027-01-21	15.14	4	2025-12-15 08:45:18
1452853	-	PAINEL	PLACA RETANGULAR ESPUMA RIGIDA	DEFINIR	UN	1.16	EMBRAER	C030987497	2	2312033.0		1.16	1	2025-12-01 10:50:26
1452854	7960242	PAINEL	PLACA RETANGULAR ESPUMA RIGIDA	DEFINIR	UN	1.16	EMBRAER	C030217893	1	2155829.0		1.16	1	2025-12-01 10:50:26
1452883	-	PERECÍVEIS	TINTA,CARIMBO,BRANCA	DEFINIR	L	0.12	EMBRAER	CN21383507	9	2341025.0	2026-01-31	0.12	2	2025-12-01 10:50:26
1452909	3427311	PERECÍVEIS	TINTA,POLIURETANO HS, BASE VERMELHO OXIDO        	H2.8	L	3.78	EMBRAER	C030367300	10	2191551.0	2026-03-23	3.79	0	2025-12-01 10:50:26
1452909	3427311	PERECÍVEIS	TINTA,POLIURETANO HS, BASE VERMELHO OXIDO        	H2.8	L	3.78	EMBRAER	C030700825	6	2309815.0	2026-05-13	3.79	2	2025-12-01 10:50:26
1452909	3427311	PERECÍVEIS	TINTA,POLIURETANO HS, BASE VERMELHO OXIDO        	H2.8	L	3.78	EMBRAER	C031524553	1	2391041.0	2027-04-20	3.79	1	2025-12-01 10:50:26
1452909	3427311	PERECÍVEIS	TINTA,POLIURETANO HS, BASE VERMELHO OXIDO        	H2.8	L	3.78	EMBRAER	C031524553	3	2391041.0	2027-04-20	3.79	1	2025-12-01 10:50:26
1452944	3844468	PERECÍVEIS	TINTA,POLIURETANO HS, BRILHANTE, CINZA FS595-16492	H6.5	L	15.14	EMBRAER	C031232733	6	2354865.0	2026-12-20	15.14	1	2025-12-01 10:50:26
1452944	3844468	PERECÍVEIS	TINTA,POLIURETANO HS, BRILHANTE, CINZA FS595-16492	H6.5	L	15.14	EMBRAER	C031232733	11	2354865.0	2026-12-20	15.14	1	2025-12-01 10:50:26
1452944	3844468	PERECÍVEIS	TINTA,POLIURETANO HS, BRILHANTE, CINZA FS595-16492	H6.5	L	15.14	EMBRAER	C030642646	15	2272441.0	2026-03-23	15.14	0,5	2025-12-01 10:50:26
1452944	3844468	PERECÍVEIS	TINTA,POLIURETANO HS, BRILHANTE, CINZA FS595-16492	H6.5	L	15.14	EMBRAER	C031454914	8	2391847.0	2026-12-20	15.14	1	2025-12-01 10:50:26
1452967	7936525	PERECÍVEIS	TINTA,PU,PRETA-BASE D'AGUA,PARA INTERIOR,37038        	H2.7	L	2.77	EMBRAER	C030960495	6	2300648.0	2026-09-20	2.77	1	2025-12-01 10:50:26
1452967	7936525	PERECÍVEIS	TINTA,PU,PRETA-BASE D'AGUA,PARA INTERIOR,37038        	H2.7	L	2.77	EMBRAER	C030960495	1	2309815.0	2026-09-20	2.77	1	2025-12-01 10:50:26
1452967	7936525	PERECÍVEIS	TINTA,PU,PRETA-BASE D'AGUA,PARA INTERIOR,37038        	H2.7	L	2.77	EMBRAER	C030960495	4	2300648.0	2026-09-20	2.77	1	2025-12-01 10:50:26
1452967	7936525	PERECÍVEIS	TINTA,PU,PRETA-BASE D'AGUA,PARA INTERIOR,37038        	H2.7	L	2.77	EMBRAER	C031242731	8	2334884.0	2026-11-20	2.77	1	2025-12-01 10:50:26
1452967	7936525	PERECÍVEIS	TINTA,PU,PRETA-BASE D'AGUA,PARA INTERIOR,37038        	H2.7	L	2.77	EMBRAER	C031443972	4	2351670.0	2027-02-18	2.77	1	2025-12-01 10:50:26
1452967	7936525	PERECÍVEIS	TINTA,PU,PRETA-BASE D'AGUA,PARA INTERIOR,37038        	H2.7	L	2.77	EMBRAER	C031443972	7	2351670.0	2027-02-18	2.77	1	2025-12-01 10:50:26
1452967	7936525	PERECÍVEIS	TINTA,PU,PRETA-BASE D'AGUA,PARA INTERIOR,37038        	H2.7	L	2.77	EMBRAER	C031576739	1	2365632.0	2027-04-20	2.77	1	2025-12-01 10:50:26
1452967	7936525	PERECÍVEIS	TINTA,PU,PRETA-BASE D'AGUA,PARA INTERIOR,37038        	H2.7	L	2.77	EMBRAER	C031576739	3	2365632.0	2027-04-20	2.77	1	2025-12-01 10:50:26
1452967	7936525	PERECÍVEIS	TINTA,PU,PRETA-BASE D'AGUA,PARA INTERIOR,37038        	H2.7	L	2.77	EMBRAER	C031778743	6	2383057.0	2027-07-20	2.77	1	2025-12-01 10:50:26
1452967	7936525	PERECÍVEIS	TINTA,PU,PRETA-BASE D'AGUA,PARA INTERIOR,37038        	H2.7	L	2.77	EMBRAER	C031778743	8	2383057.0	2027-07-20	2.77	1	2025-12-01 10:50:26
1452969	1015710	PERECÍVEIS	TINTA,POLIURETANO,BASE AGUA,BRANCO 37875-BASE AGUA,INTERIOR	G3.5	L	2.77	EMBRAER	C031504234	6	2359605.0	2027-03-20	11.08	1,377	2025-12-01 10:50:26
1452969	1015710	PERECÍVEIS	TINTA,POLIURETANO,BASE AGUA,BRANCO 37875-BASE AGUA,INTERIOR	G3.5	L	2.77	EMBRAER	C031504234	11	2383057.0	2027-03-20	11.08	4	2025-12-01 10:50:26
1452969	1015710	PERECÍVEIS	TINTA,POLIURETANO,BASE AGUA,BRANCO 37875-BASE AGUA,INTERIOR	G3.5	L	2.77	EMBRAER	C031778744	6	2406607	2027-06-20	11.08	4	2025-12-12 10:17:26
1452971	2078450	PERECÍVEIS	TINTA,POLIURETANO,BASE AGUA,IVORY SIVAM, INTERIOR        	H4.5	L	2.77	EMBRAER	C030974636	1	2267441.0	2026-09-20	2.77	2	2025-12-01 10:50:26
1453048	7936519	PERECÍVEIS	TINTA,POLIURETANO,CINZA 36375-BASE AGUA,INTERIOR	G3.9	L	2.76	EMBRAER	C030660235	12	2256238.0	2026-06-20	5.54	4,423	2025-12-01 10:50:26
1453150	6529928	PERECÍVEIS	TINTA PRIMER A BASE DE RESINA EPOXI	H3.4	L	7,57	EMBRAER	C031592354	2	2398325.0	2027-04-20	15,14	4	2025-12-01 10:50:26
1453150	6529928	PERECÍVEIS	TINTA PRIMER A BASE DE RESINA EPOXI	H3.4	L	7,57	EMBRAER	C031592354	4	2398325.0	2027-04-20	15,14	4	2025-12-01 10:50:26
1453152	8095100	PERECÍVEIS	TINTA,POLIURETANO HS,BRANCO-FS595-17875(B) - 715293	H4.6	L	15.14	EMBRAER	C031063684	17	2354865.0	2026-09-20	15.14	1	2025-12-01 10:50:26
1453152	8095100	PERECÍVEIS	TINTA,POLIURETANO HS,BRANCO-FS595-17875(B) - 715293	H4.6	L	15.14	EMBRAER	C031063684	7	2354865.0	2026-09-20	15.14	0,5	2025-12-01 10:50:26
1453152	8095100	PERECÍVEIS	TINTA,POLIURETANO HS,BRANCO-FS595-17875(B) - 715293	H4.6	L	15.14	EMBRAER	C030447719	8	2239434.0	2026-01-21	15.14	0	2025-12-01 10:50:26
1453152	8095100	PERECÍVEIS	TINTA,POLIURETANO HS,BRANCO-FS595-17875(B) - 715293	H4.6	L	15.14	EMBRAER	C031725734	2	2391041.0	2027-07-20	15.14	1	2025-12-01 10:50:26
1453152	8095100	PERECÍVEIS	TINTA,POLIURETANO HS,BRANCO-FS595-17875(B) - 715293	H4.6	L	15.14	EMBRAER	C031829957	1	2403237	2027-06-20	15.14	1	2025-12-05 09:31:30
1453212	8304211 - 7169569 - 2087460 - 4893579	PERECÍVEIS	FITA ADESIVA-25MM TRANSFERIVEL,ACRILICO, TIPO 2	F1.2	M	55.0	EMBRAER	C031816680	1	2364596.0	2027-08-08	1100.0	4	2025-12-01 10:50:26
1453212	8304211 - 7169569 - 2087460 - 4893579	PERECÍVEIS	FITA ADESIVA-25MM TRANSFERIVEL,ACRILICO, TIPO 2	F1.2	M	55.0	EMBRAER	C031816680	2	2364596.0	2027-08-08	1100.0	20	2025-12-01 10:50:26
1453212	8304211 - 7169569 - 2087460 - 4893579	PERECÍVEIS	FITA ADESIVA-25MM TRANSFERIVEL,ACRILICO, TIPO 2	F1.2	M	55.0	EMBRAER	C031640543	2	2347218.0	2027-06-27	1100.0	10	2025-12-01 10:50:26
1453212	8304211 - 7169569 - 2087460 - 4893579	PERECÍVEIS	FITA ADESIVA-25MM TRANSFERIVEL,ACRILICO, TIPO 2	F1.2	M	55.0	EMBRAER	C031640543	1	2347218.0	2027-06-27	1100.0	6	2025-12-01 10:50:26
1453271	 9110593 - 8497706 - 1453460 - 1363741	PERECÍVEIS	SELANTE,POLISSULFETO,TANQUE COMBUSTIVEL,TIPO I,CL B-2	G1.1	KG	0.15	EMBRAER	C031198991	3	2318790.0	2025-10-27	12.24	0	2025-12-01 10:50:26
1453271	 9110593 - 8497706 - 1453460 - 1363741	PERECÍVEIS	SELANTE,POLISSULFETO,TANQUE COMBUSTIVEL,TIPO I,CL B-2	G1.1	KG	0.15	EMBRAER	C031198991	18	2318790.0	2025-10-27	12.24	0	2025-12-01 10:50:26
1453271	 9110593 - 8497706 - 1453460 - 1363741	PERECÍVEIS	SELANTE,POLISSULFETO,TANQUE COMBUSTIVEL,TIPO I,CL B-2	G1.1	KG	0.15	EMBRAER	C031296346	19	2318790.0	2025-11-25	12.24	0	2025-12-01 10:50:26
1453271	 9110593 - 8497706 - 1453460 - 1363741	PERECÍVEIS	SELANTE,POLISSULFETO,TANQUE COMBUSTIVEL,TIPO I,CL B-2	G1.1	KG	0.15	EMBRAER	C031532739	1	2378814.0	2026-01-26	12.24	15	2025-12-01 10:50:26
1453271	 9110593 - 8497706 - 1453460 - 1363741	PERECÍVEIS	SELANTE,POLISSULFETO,TANQUE COMBUSTIVEL,TIPO I,CL B-2	G1.1	KG	0.15	EMBRAER	C031296346	4	2378814.0	2025-11-25	12.24	0	2025-12-01 10:50:26
1453271	 9110593 - 8497706 - 1453460 - 1363741	PERECÍVEIS	SELANTE,POLISSULFETO,TANQUE COMBUSTIVEL,TIPO I,CL B-2	G1.1	KG	0.15	EMBRAER	C032054811	2	2406607	2026-08-23	12.24	72	2025-12-12 10:13:38
1453274	9116781 - 8305176 - 4463457	PERECÍVEIS	ADESIVO,ELASTOMERICO,BORRACHA SINTETICA	H5.6	KG	3.1	EMBRAER	C031309216	20	2354865.0	2026-01-25	12.4	4	2025-12-01 10:50:26
1453274	9116781 - 8305176 - 4463457	PERECÍVEIS	ADESIVO,ELASTOMERICO,BORRACHA SINTETICA	H5.6	KG	3.1	EMBRAER	C031309216	16	2354865.0	2026-01-25	12.4	4	2025-12-01 10:50:26
1453274	9116781 - 8305176 - 4463457	PERECÍVEIS	ADESIVO,ELASTOMERICO,BORRACHA SINTETICA	H5.6	KG	3.1	EMBRAER	C031569020	2	2403227	2026-03-25	12.4	4	2025-12-04 16:12:00
1453274	9116781 - 8305176 - 4463457	PERECÍVEIS	ADESIVO,ELASTOMERICO,BORRACHA SINTETICA	H5.6	KG	3.1	EMBRAER	C031569020	7	2403227	2026-03-25	12.4	4	2025-12-04 16:12:17
1453274	9116781 - 8305176 - 4463457	PERECÍVEIS	ADESIVO,ELASTOMERICO,BORRACHA SINTETICA	H5.6	KG	3.1	EMBRAER	C031261391	12	2354865	2026-01-25	12.4	2,375	2025-12-08 09:31:01
1453275	9107087 - 8304299 - 7137045 - 2152752	PERECÍVEIS	ADESIVO,EPOXI,TIPO II	H2.2	KG	0.91	EMBRAER	C031882434	4	2330031.0	2026-08-09	9.07	0	2025-12-01 10:50:26
1453275	9107087 - 8304299 - 7137045 - 2152752	PERECÍVEIS	ADESIVO,EPOXI,TIPO II	H2.2	KG	0.91	EMBRAER	C031882434	5	2244909.0	2026-08-09	9.07	0	2025-12-01 10:50:26
1453275	9107087 - 8304299 - 7137045 - 2152752	PERECÍVEIS	ADESIVO,EPOXI,TIPO II	H2.2	KG	0.91	EMBRAER	C031882435	6	2391847.0	2026-08-09	9,07	10	2025-12-01 10:50:26
